Date,Open,High,Low,Close,Adj Close,Volume,Prediction
2018-02-05,68.199997,68.459999,67.0,67.620003,67.620003,32399.0,68.57580184186928
2018-02-06,66.989998,67.589996,66.550003,66.860001,66.860001,32169.0,67.66113299335329
2018-02-07,67.230003,67.720001,65.160004,65.510002,65.510002,56412.0,66.90699193709145
2018-02-08,65.440002,65.589996,64.110001,64.809998,64.809998,37936.0,65.55093394513993
2018-02-09,64.379997,64.629997,61.77,62.790001000000004,62.790001000000004,34853.0,64.83297781755411
2018-02-12,62.639998999999996,64.410004,62.560001,62.59,62.59,33192.0,62.836886171997755
2018-02-13,62.740002000000004,63.099998,61.759997999999996,62.720001,62.720001,38693.0,62.60111002846281
2018-02-14,62.470001,64.559998,61.959998999999996,64.360001,64.360001,40865.0,62.68449406688598
2018-02-15,64.32,65.099998,63.119999,64.33000200000001,64.33000200000001,36176.0,64.23262039984917
2018-02-16,64.410004,65.199997,64.190002,64.839996,64.839996,27034.0,64.26850429197923
2018-02-20,64.860001,65.83000200000001,64.779999,65.25,65.25,34029.0,64.82465331994219
2018-02-21,65.110001,65.529999,64.400002,65.41999799999999,65.41999799999999,26015.0,65.26628817184307
2018-02-22,65.010002,66.550003,64.639999,66.389999,66.389999,29052.0,65.39541879615876
2018-02-23,66.25,67.370003,65.800003,67.309998,67.309998,20948.0,66.3649575507125
2018-02-26,67.300003,67.900002,66.739998,67.5,67.5,20385.0,67.26036266029088
2018-02-27,67.559998,67.629997,66.370003,66.629997,66.629997,9005.0,67.46895787281198
2018-02-28,66.33000200000001,66.879997,65.540001,65.779999,65.779999,1241.0,66.67726171811702
2018-03-01,65.709999,65.709999,65.709999,65.709999,65.709999,44819.0,65.85341924245161
2018-03-02,64.239998,64.68,63.200001,64.370003,64.370003,39587.0,65.73365303071748
2018-03-05,64.690002,65.870003,64.099998,65.540001,65.540001,31209.0,64.37556600425195
2018-03-06,65.589996,66.150002,65.309998,65.790001,65.790001,24251.0,65.5084290433738
2018-03-07,65.43,65.779999,63.84,64.339996,64.339996,36313.0,65.73594663280417
2018-03-08,64.550003,64.550003,63.43,63.610001000000004,63.610001000000004,44008.0,64.33096377283029
2018-03-09,63.849998,65.620003,63.700001,65.489998,65.489998,33619.0,63.703902538019534
2018-03-12,65.540001,65.83000200000001,64.18,64.949997,64.949997,19165.0,65.4503527031711
2018-03-13,64.91999799999999,65.660004,64.040001,64.639999,64.639999,34247.0,64.85465798791512
